"He Knows She Knows - The Slay Bell Bash",1543773600, Buy Tickets
"Fish",1543777200, Buy Tickets
"Defiant Wrestling: Loaded",1543860000, Buy Tickets
"Lucero",1543950000, Buy Tickets
"Power Quest",1544036400, Buy Tickets
"Slade: Merry Xmas Everybody 45th Anniversary",1544038200, Buy Tickets
"Fireball – Fuelling The Fire Tour",1544119200, Buy Tickets
"Absolute Bowie Presents 50 Years of Bowie",1544209200, Buy Tickets
"The Frozen Prosecco Snowball",1544187600, Cancelled
"Bjorn Again",1544293800, Buy Tickets
"Ocean Colour Scene - The Christmas Shows 2018",1544382000, Buy Tickets
"Ocean Colour Scene - The Christmas Shows 2018",1544468400, Buy Tickets
"All Saints",1544641200, Buy Tickets
"Sneakbo",1544727600, Buy Tickets
"Brutus Gold’s Love Train",1544821200, Buy Tickets
"The Midnight Drive",1544898600, Buy Tickets
"THE SOUTHMARTINS (Tribute To The Beautiful South & The Housemartins)",1544898600, Buy Tickets
"Honey Bee + Lhymes",1544986800, Buy Tickets
"Razorlight",1545073200, Buy Tickets
"KING 810",1545159600, Buy Tickets
"Mona",1545246000, Buy Tickets
"The Smyths... Songs of Love and Hate Tour",1545332400, Buy Tickets
"Chris Helme, Mark Morriss & Nigel Clark",1545417000, Buy Tickets
"Hip Hop Hooray: Happy Holidays!",1545417000, Buy Tickets
"Definitely Mightbe (Oasis tribute)",1545503400, Buy Tickets
"Clubland Boxing Day: Newcastle",1545858000, Buy Tickets
"Bon Jovi Forever & Whitesnake UK",1545931800, Buy Tickets
"AC/DC GB & Metal Militia",1546016400, Buy Tickets
"Fu Fighters & Novana",1546102800, Buy Tickets
"MONTA MUSICA: NYE SPECIAL",1546261200, Buy Tickets
"Defiant Wrestling: Loaded",1546711200, Buy Tickets
"Rodfest 2019",1547143200, Buy Tickets
"Uncle Acid & the Deadbeats",1547751600, Buy Tickets
"Mastodon",1547834400, Buy Tickets
"Nathaniel Rateliff & The Night Sweats",1548097200, Buy Tickets
"Miz Cracker - It's Time - One Woman Tour",1548354600, Buy Tickets
"Kaiser Chiefs",1548441000, Buy Tickets
"The Clone Roses vs Kazabian",1548527400, Buy Tickets
"The Streets",1548702000, Sold Out
"The Vaccines",1548788400, Buy Tickets
"Jimmy Eat World",1548874800, Buy Tickets
"Gorgon City Live",1548961200, Buy Tickets
"Prince Tribute - Endorphinmachine",1549045800, Buy Tickets
"The Dead South",1549132200, Buy Tickets
"Clem Burke and Bootleg Blondie",1549220400, Buy Tickets
"Enter Shikari",1549306800, Buy Tickets
"DE STAAT - OUTRAGEOUS CONTAGIOUS TOUR",1549566000, Buy Tickets
"Flash: Tribute to Queen",1549737000, Buy Tickets
"Motorheadache",1549737000, Buy Tickets
"Buckcherry | Hoobastank",1549998000, Buy Tickets
"The Hunna",1550255400, Postponed
"Steve Aoki",1550340000, Buy Tickets
"CHVRCHES",1550516400, Buy Tickets
"Emo Night",1550840400, Buy Tickets
"Blue Oyster Cult",1550946600, Buy Tickets
"Only The Poets",1551465000, Buy Tickets
"Freddie's Outrageous Radio Gaga",1551445200, Buy Tickets
"P.O.D. | Alien Ant Farm",1551636000, Buy Tickets
"Trixie Mattel - Skinny Legend Tour",1551726000, Buy Tickets
"Greta Van Fleet",1551812400, Buy Tickets
"Embrace - The Good Will Out 21st Anniversary Tour",1551985200, Buy Tickets
"The Wailers",1552068000, Buy Tickets
"Yungblud - 21st Century Liability Tour",1552244400, Sold Out
"The Stranglers",1552590000, Buy Tickets
"Stiff Little Fingers",1552674600, Buy Tickets
"Blak Twang, Rodney P & TY Presents The Kingdem Tour",1552761000, Buy Tickets
"The Pineapple Thief",1553108400, Buy Tickets
"Wille and the Bandits",1553279400, Unavailable
"Gerry Cinnamon",1553279400, Buy Tickets
"The Homecoming Show with Geoff Mull and Friends",1553365800, Buy Tickets
"U.F.O. “Last Orders – 50th Anniversary Tour”",1553799600, Buy Tickets
"We Are 90s Dance Live - A Decade of 90s Euro Dance",1553976000, Buy Tickets
"The Hunna",1554400800, Buy Tickets
"SEX PISTOLS EXPERIENCE + LIZZIE AND THE BANSHEES",1554571800, Buy Tickets
"Bad Manners",1554571800, Buy Tickets
"MC Lars - This Gigantic Robot Kills Ten Years Anniversary Tour",1554660000, Buy Tickets
"The Amy Winehouse Experience…A.K.A Lioness",1555090200, Buy Tickets
"Dirt Box Disco",1555090200, Buy Tickets
"Set It Off",1555264800, Buy Tickets
"Megan Dhalai",1555695000, Buy Tickets
"80s Rewind: Party Night",1555777800, Buy Tickets
"CoCo and the Butterfields",1555781400, Buy Tickets
"Richard Ashcroft",1555956000, Sold Out
"Papa Roach",1556038800, Buy Tickets
"Craig David presents TS5",1556215200, Buy Tickets
"Hollywood Undead",1556647200, Buy Tickets
"Sundara Karma - HTN Opening Party",1556906400, Buy Tickets
"The Specials",1556991000, Sold Out
"Hit The North",1557061200, Buy Tickets
"Ian Prowse & Amsterdam",1557509400, Buy Tickets
"The AC/DC Experience",1557595800, Buy Tickets
"Hue and Cry",1557595800, Buy Tickets
"R.E.M by STIPE - The Definitive Tribute to REM",1558200600, Buy Tickets
"KRS-One",1558634400, Buy Tickets
"T'Pau",1558719000, Buy Tickets
"Fleetingwood Mac (A Tribute To Fleetwood Mac)",1558805400, Buy Tickets
"Slaughter and The Dogs",1559323800, Buy Tickets
"Anne-Marie: Speak Your Mind Tour 2019",1559671200, Buy Tickets
"Cash",1560015000, Buy Tickets
"The Skids",1560015000, Buy Tickets
"Nirvana UK (Tribute)",1560619800, Buy Tickets
"Toyah",1561224600, Buy Tickets
"Big Country 30th Anniversary Steeltown Tour",1568482200, Buy Tickets
"The George Michael Story",1568998800, Buy Tickets
"Y&T",1573237800, Buy Tickets
